name,words,intro
不是，我电子女友咋修成剑仙了,222.9万,【已签出版放心食用】【单女主】【新题材】【云养女友+氪金强化】
丹道第一圣,188.0万,作为满级炼丹师，丹药当饭吃不过分吧？
武碎星河,793.3万,神明在星空俯瞰，恶魔在地狱咆哮。
玄幻：开局一身无敌大招,522.7万,罗天穿越第一天，就得到了九卷天书。
万世之名,355.5万,乱世求生，盛世求名。饱经风霜的大禹朝仍处于盛世年间。西北有少年徒步九千里，孤身斩大妖，争一世功名。龙湖，有不世宗师赶赴人间，开宗立派，百世留名。帝都有圣人传道万千，教徒遍布各州，流芳千古。而在青州城内，一座将门世家院落中。有个孩童却整日不务正业，只知下棋作画，垂钓弹琴。多年后——……剑起龙烟三千里，一剑斩尽九洲城！世间万法，唯我，入道也。……继《超神宠兽店》《黑暗王者》《永夜神行》《重启末世》……最新力作，欢迎品尝。【轻松幽默】【武道面板】【艺术大师】【腹黑】
开局混沌剑体，打造不朽仙族,462.4万,【系统+无敌+爽文+培养家族+不服直接干！】
儒道至圣,768.0万,这是一个读书人掌握天地之力的世界。才气在身，诗可杀敌，词能灭军，文章安天下。秀才提笔，纸上谈兵；举人杀敌，出口成章；进士一怒，唇枪舌剑。圣人驾临，口诛笔伐，可诛人，可判天子无道，以一敌国。此时，圣院把持文位，国君掌官位，十国相争，蛮族虎视，群妖作乱。此时，无唐诗大兴，无宋词鼎盛，无创新文章，百年无新圣。一个默默无闻的寒门子弟，被人砸破头后，挟传世诗词，书惊圣文章，踏上至圣之路。感谢阅文官方书评团提供书评支持！
斗罗大陆III龙王传说,495.1万,伴随着魂导科技的进步，斗罗大陆上的人类征服了海洋，又发现了两片大陆。魂兽也随着人类魂师的猎杀无度走向灭亡，沉睡无数年的魂兽之王在星斗大森林最后的净土苏醒，它要带领仅存的族人，向人类复仇！唐舞麟立志要成为一名强大的魂师，可当武魂觉醒时，苏醒的，却是……旷世之才，龙王之争，我们的龙王传说，将由此开始。
寒门小甜妻,227.9万,赵策一朝穿越到大明，穿越成了个声名狼藉的穷酸书生。
九龙神帝,565.3万,大帝苏尘，十大封号武帝排名第一，横扫无敌，万古无双，即将飞升成神之时，遭好友背刺而死。
夜无疆,308.8万,那一天太阳落下再也没有升起…………………
人生模拟：让女剑仙抱憾终身,100.6万,【第一次模拟，你穿越到修仙世界】
雪鹰领主,360.3万,在夏族的安阳行省，有一个很小很不起眼的领地，叫——雪鹰领！故事，就从这里开始！**继《莽荒纪》《吞噬星空》《九鼎记》《盘龙》《星辰变》《寸芒》《星峰传说》后，番茄的第八本小说！
大荒经,731.7万,众所周知，《山海经》其实是一部菜谱。
禁忌神王,358.9万,楚家天命麒麟子，年少被人以一杯毒酒，毁掉天赋，沦为大教弃徒！
玄幻：长生神子，何须妹骨证道！,323.9万,短剧同名已上线！
不朽凡人,368.5万,在这里，拥有灵根才能修仙，所有凡根注定只是凡人。莫无忌，只有凡根，一介凡人！
说我是反派，污蔑竟然成真了！,391.9万,【玄幻脑洞+系统+反派+不圣母+杀伐果断】
太古神尊,1572.2万,造化神朝太子叶风，身份尊贵，可惜天生废人，无法修行，在外敌入侵，造化神朝覆灭之际，无力反抗，屈辱被杀，却离奇的在三千年后重新复苏，竟意外觉醒神帝血脉，打破命运的诅咒，从此踏上了逆流而上的茫茫征途！“三千年前的敌人，如今已如神灵般高高在上，是屈服妥协，还是战斗到底？”
我的法宝都是规则系,270.1万,“孙宗主，贵宗现为北地修界鼎鼎有名的剑宗，请问您如何评价许院长。”
榆仙,526.1万,【无系统，无后宫，传统仙侠，杀伐果决，凡人流。】
开局，大帝师尊求我争夺序列弟子,355.5万,【系统＋无敌＋诸天万界＋护犊子＋宗门护犊子＋杀伐果断＋老六】
万古第一废材,851.9万,【无敌、热血、快节奏、爆更、亿万读者强推！】十万年前，人人如龙，皆可修炼武道，劫变之后，天道崩塌，诸神陨落，只有一尊轮回古塔遗留世间。
一剑一酒一乾坤,468.4万,【剑道+酒仙+玄幻仙侠+单女主+互宠+人族求生】一年前，少年看父亲背剑斩妖救人族，一去不回。一年后，少年一剑一酒入青云，受尽冷落，困居桃花林。那一把父亲称作【守护之剑】被立在青云门最显眼的位置，被世人称作【耻辱之剑】。十八岁时，少年斩尽满山桃花，于世人面前拔出那一把守护之剑，那一刻，嘲笑他的人皆丧于剑下，剑出鞘，妖族颤栗，魔族胆寒，仙人震惊！
永恒之门,674.8万,神魔混战，万界崩塌，只永恒仙域，长存世间。
让你修仙，没让你祸害修仙界啊！,188.0万,【搞笑】【老六】【轻松】【无厘头】【越往后越好看】
蛇仙：开局吞噬仙帝,459.2万,村里的老蛇误食人丹，开启灵智，从此踏上修仙之路。一尊神秘的小鼎，一卷化龙的功法，蛇之一生，短短十载，只争朝夕。
盘龙,336.5万,楼房大小的血睛鬃毛狮，力大无穷的紫睛金毛猿，毁天灭地的九头蛇皇，携带着毁灭雷电的恐怖雷龙……这里无奇不有，这是一个广博的魔幻世界。强者可以站在黑色巨龙的头顶遨游天际，恐怖的魔法可以焚烧江河，可以毁灭城池，可以夷平山岳……这本书，讲述了一个拥有‘盘龙戒指’的少年的梦幻旅程。
长夜余火,281.2万,灰土上所有人都相信，埋葬在危险和饥荒中的某个遗迹深处，有通往新世界的道路，只要能找到一把独特的钥匙，打开那扇门，就能进入新世界。在那里，大地是丰饶的，就像流淌着奶与蜜，阳光是灿烂的，似乎能洗去寒冷和阴晦。人们不用再面对荒芜、怪物、感染、畸变和各种危险的事物。在那里，孩子是快乐的，成人是幸福的，一切都是美好的。灰土上每一个古物学者、遗迹猎人和历史研究员都知道，这里就是新世界。
无敌皇子，开局迎娶女杀神,346.5万,叶枭，大乾三皇子，武道天资无敌，十四岁入江湖，一游十载。
天域丹尊,1136.3万,一代丹帝重返十五岁，这一世，不仅要弥补前世所有遗憾，更要成就武道至尊！比功法？我的小弟人手一本神级功法。比丹药？我的极品丹药拿来喂狗。天才？凡是遇到我的天才，全是被碾压的命！顺我者昌，逆我者死！
小师弟要逆天,388.4万,一场机缘巧合下，陆长生被带入宗门，成为青云峰小师弟
玄幻：一脉相承，主打仗势凌人,202.5万,【轻松+搞笑+无敌师承+悍匪系统+靠山王+全宗老六+团宠+仗势凌人+不是很正经的修仙，纯镐子~】
混沌天帝诀,1614.1万,太古异兽利爪捏碎诸天星辰，域外邪族发出惑乱众生的嘶鸣，黑暗深渊中的妖魔睁开了邪异的血瞳，远古诸神从沉睡中苏醒。这是一个大争之世！人族强者以利剑问鼎苍穹，在诸天万族中挺起不屈脊梁！楚剑秋偶得混沌天帝诀，从微弱中崛起，踏上万界征程。一念崩星海，一念裂苍穹。一念诛妖鬼，一念葬神魔！俯瞰诸天神域，谁敢争锋？这，就是天帝之威！
武神主宰,1353.3万,天武大陆一代传奇秦尘，因好友背叛意外陨落武域。三百年后，他转生在一个受尽欺凌的王府私生子身上，利用前世造诣，凝神功、炼神丹，逆天而上，强势崛起，从此踏上一段震惊大陆的惊世之旅。
看见血条的我，选择打爆世界,238.4万,世人皆说道消魔长、天劫将至，周元却不认同。
江山美人志,499.4万,神奇的大陆，众多的民族，列国争霸，数风流人物，还看今朝。合久必分，分久必合，为了民族的生存，为了国家的强盛，为了理想的实现，乱世中，众多英雄奇才各显身手，鹿死谁手，拭目以待。且看一代天骄铁血皇帝李无锋如何在这块大路上谱写传奇的一生。
沧元图,191.8万,《沧元图》东宁府番外篇，7月13日起每周六10:00，优酷动漫独家播出。番茄的第十本小说。————我叫孟川，今年十五岁，是东宁府“镜湖道院”的当代大师兄。
武映三千道,771.6万,许无舟穿越了，惊愕的他发现自己成了上门女婿，不只是公认的废物蛀虫，还在新婚之夜躺在了新娘闺蜜的床上。吃顿饭却误入青楼，清冷的妻子对他失望透顶，老丈人打发他去家族武堂，任他任生任灭。可他却因为穿越，得到了一只破破烂烂需要依靠吞万物才能修复的轮回碗，而每修复一道裂缝就会反馈他力量。吞一块铁，获得一牛之力；吞一块银，境界提升一重；吞一块金，战技修至大成。……于是，许无舟开启了他放荡不羁的人生。
付费才能修仙？我的宗门全免费,218.1万,（无敌+收徒+宗门升级+杀伐果断+世界观宏大+群像+慢慢展开+前面二十万字节奏稍慢，二十万字之后节奏无敌爆快）
九龙归一诀,1044.6万,获混沌宝物，修九龙归一。斩日月星河，诛万古妖魔。陆沉一出风云动，诸天万界鬼神惊。醉卧鸾凤美人笑，三千大道渡众生。
修仙：我靠系统当剑神,375.9万,“赠送聚气丹，获得万倍反馈，奖励九转金丹！”
灰雾之上,445.8万,【诡秘】+【魔药】+【种族】+【文明】
转生神树，我打造阴兵家族,211.0万,【群像+系统+家族文+无女主+主角不是人！】
剑月琴星,458.1万,【玄幻】+【凡人流】+【无系统】+【慢热】+【剑道】+【推理】万年大战，天地交崩，三族并立，神器沉沦。一个没有灵根的山野少年，从尘世走来，为报大仇，历经磨难。以一剑而成万剑，因道心而入魔劫！挥掌中剑，杀不尽恩怨，斩不断情仇。是痴是癫，无惧世人冷眼；成仙入魔，只在一念之间！
修罗武神,1490.7万,论潜力，不算天才，可玄功武技，皆可无师自通。论实力，任凭你有万千至宝，但定不敌我界灵大军。我是谁？天下众生视我为修罗，却不知，我以修罗成武神。
武道丹帝,959.8万,【九百万字大长篇，单女主+杀伐果断+无敌爽文，全程高能无尿点！】
被女帝离婚后，我分走百万倍修为,162.5万,陆清安以杀证道，无敌之后，厌倦了无休止的杀戮，开始想过踏实日子，于是离开魔域，隐瞒魔帝身份，与心爱的女人结为道侣。
开局圣地道子，你让我走废材流？,225.1万,（天才修仙，杀伐果断，轻松向，系统，扮猪吃虎，虐菜圣手，炸鱼天尊，多女）
打坐就能涨法力，贫道要无敌,399.5万,【非无脑爽文】【出手必碾压】【先抑后扬】【连绵爆发】【人情世故】【快速无敌】
每日一门神通大成,737.1万,别人苦修千年，只为神通入门。陈斐深吸一口气——【极山呼吸法，圆满！】一念破虚妄，一怒葬诸天。从微末凡人起，一步步，铸无上大道，横压万界！
武极神王,481.7万,惊世妖瞳乱天地，绝世神体破乾坤。六道沉沦，万世无天帝。诸圣并起，神王执寰宇。乱世争雄，唯我掌天！十大旷世圣体称雄，谁敢与之神体争锋？一个身怀惊天秘密的少年始于蝼蚁群，崛起天才林，傲苍穹，踏九霄！至尊归来星河动，武极神王战诸天！
不从圣,302.9万,【无女主，不套路，非爽文，文笔极佳，剧情一流，不喜勿入。】
恶魔法则,382.7万,一个一无是处的，被认为是废物和白痴家伙，把灵魂卖给了恶魔，能换取到什么？美色？力量？财富？权力？颠覆这世界的所有规则吧，让我们遵寻着恶魔的轨迹……“我知道，终有一天，这个世界将被我踩在脚下！！”——杜维
开局长生帝族，你让我寒门逆袭？,114.0万,秦忘川，长生世家嫡子，在1080块至尊骨以及108块仙骨滋养下生来觉醒【长生仙体】。家中大帝无数，圣体如云，连啃的寿桃都能让下界修士抢破头。
战神狂飙,2160.9万,叶无缺，本来天资绝世，惊才绝艳，但为了身世之谜甘愿寂灭，装成废物凝练斗战圣法本源，整整十年！
玄浑道章,724.8万,新书《天人图谱》已发布，请大家多多支持！……在这个神怪遍地的世界经历了第六个纪元之后，煌煌天夏降临了！…………玄浑道章书友群：【762873632】玄浑道章•造化之界：【526275426】玄浑道章VIP书友群：【615387042】…………
模拟成真，我曾俯视万古岁月？,274.3万,俞客睁开眼，看到了一个无与伦比、光怪陆离的修行大世。七大部洲，五域海外，立下恢宏无上的道统，仙佛之辈屹立此世之巅俞客只是神霄宗外门弟子，最大的愿望，不过是筑基成功直到他幸得‘鲲虚鼎’，能推演过往岁月，模拟万千身份！【每一次转生，都是一次崭新的开始，你想抉择怎样的人生？】第一世，你资质低下，是三真教师叔祖，大器晚成，终在人间武学再拔高一层，武碎虚空。号称“人间陆沉三百年，方得此君”再一世，你是高门赘婿，少年早慧却受尽欺凌，小院翻书十年，一步陆地神仙境。儒家大儒赞曰“笔落惊风雨，诗成泣鬼神”再一世，你是玄宗道子，再一世，你是大周藏书史…你是登天十杰…你是金鳌岛大师兄上古、中古、太古、洪荒，鸿蒙…一个个震古烁今、煌煌无敌的身份蓦然回首，你才惊觉！你的遗物，在天帝大墓之中被挖出来?你的画像，被挂在当世修仙大宗的祖师堂，日夜受着香火有人开辟轮回，只为等你归来有人建立阎浮净土，只为守护你的遗蜕有人在天书石碑上刻下：“我曾放下过天地，却未曾放下过你”什么情况，说好体验人生我曾高高在上，俯视这万古岁月?
全职法师,759.3万,一觉醒来，世界巨变。藏匿于西湖下的图腾玄蛇，屹立时如摩天大厦。游荡在古都城墙外的亡灵大军，它们只听从皇陵下传出的低语。埃及金字塔中的冥王，它和它的部众始终觊觎着东方大地！伦敦有着伟大的驯龙世家。希腊帕特农圣山上，有神女祈福。威尼斯被誉为水系魔法之都。奈斯卡巨画从沉睡中苏醒。贺兰山风与雨侵蚀出的岩纹，组成一只眼，山脊是眶，数万年来凝视着上苍。
万倍返还，年迈的我去当舔狗,188.1万,（多女主，爽文，变年轻）
出生就无敌，一念秒仙帝,295.9万,【无敌+极致暴爽+轻松搞笑+无敌背景+一切都拉满+摆烂】
绑定天骄，师妹凝丹我成尊！,217.6万,李玄穿越武道为尊，体质为王的天玄大陆，被美女师尊收为徒弟，本以为会走上一条波澜壮阔的武道之路，没想到被检测出天生凡体，修行一辈子也难有成就。
星门,647.8万,传说，在那古老的星空深处，伫立着一道血与火侵染的红色之门。传奇与神话，黑暗与光明，无尽传说皆在这古老的门户中流淌。俯瞰星门，热血照耀天地，黑暗终将离去！《星门》漫画11月18日上线！！！对漫画感兴趣的朋友可以去看看。
邪鼎,758.5万,世间有一鼎，名叫魔王鼎，可葬天下生灵。
巨龙：龙界,744.8万,“我们自星空而来，星空是我们梦想、野望、未来，以及家，我们是星空巨龙，星空代表着自由，所以我们生来自由！”
开局女难之体，女帝师尊为我痴狂,148.5万,【女帝＋体质特别＋整活逆徒＋贱萌老六＋搞笑轻松】
镇守仙秦：地牢吞妖六十年,422.9万,【大秦】【无敌】【锦衣卫】【热血】【郑重提醒：本书修行境界全部为华夏体育总局颁布修行境界：隐元，洞明，瑶光，开阳，玉衡，天权，天玑，天璇，天枢】
凡人修仙：开局一张混沌符,346.7万,【无系统，凡人流】，一个十系俱全的杂灵根，偶然获得一枚开天至宝混沌符，从而踏上修仙道途，踏天骄，斩万敌，尸山血海，回首白骨尽成丘！
最初进化,796.5万,群号是948681859（要求粉丝值执事）最意外的诡异宿命，最激烈的脑力碰撞，最残酷的生死战斗，最疯狂的奇异幻想，最离奇的事实真相......最初已至，再战十年！
赘婿神皇,993.0万,【赘婿＋逆袭＋打脸＋爽文＋废柴崛起＋金手指＋上门女婿＋无敌】
什么，梦中的娘子都是真的,300.6万,叶羽穿越至玄幻世界，意外获得模拟梦境系统。
掌门师伯新收了个女徒弟,353.0万,【宗门、轻松、日常、爆笑、夺笋】掌教师伯新收了一个女徒弟。她很漂亮，让无数人为之神往。直至周清终于激活词条，看到很多人头上都闪烁着一个金色的标签。根据提示，那是别人内心对他的备注。隔壁峰首席对他的备注是【爱玩的色痞】三师兄对他的备注是【有色心有色胆的小师弟】石蓁师姐对他的备注是【梦游症加重的周师弟】当周清看向这位新来的小师妹时，她的备注却是【好英俊】【好厉害】【好霸气】时。这一刻基本可以确定。于是，周清鼓起了勇气。“我……”可她却是哈哈大笑：“爹，你年轻的时候真逗。”
长生从万象本源桩开始,245.8万,一朝穿越，宁奇只求长生。先天灵光加持，觉醒满级悟性。自此。宁奇低调修行，不无敌不出山。阅万经以厚底蕴，观天地以悟道果。创古人前所未有之法，开今人难以想象之路。诸圣自上古复苏，却不知，这世间已然多了一尊真正的无敌者。…………宁奇端坐高天，传法、立界树、升格世界。他说：“此界当有仙。”大道显化，世界跃迁。万灵敬拜，众生俯首。“道祖永恒！”
白骨大圣,598.4万,【均订过万玄幻精品！】【《白骨大圣》漫画已上线，可在腾讯动漫阅读！】死人沾地，老狗刨坟，阴人问路，吃活人饭，知道碰上其中一个意味着什么吗？“已有2万均订作品《这里有妖气》”“《这里有妖气》漫画改编版权已卖出”“《这里有妖气》漫画已上线，可在腾讯动漫、起点漫画、b站漫画阅读”V群验证群：609033668；（需全订）书友①群：608548874；（已被祭天）书友②群：760859432；（少量空位）书友③群：633795166。（少量空位）
老子修仙回来了,563.3万,林尘，仙界最强仙尊，威名震四方！
葬天塔,580.3万,【大神作品+无敌流+热血爽文+强烈推荐】
天人图谱,573.3万,如果人类的生命可以一直强大下去，无限拔高，那终有一日能与天相接！…………《天人图谱》书友群，群号：（535311175）
一世之尊,444.8万,我这一生，不问前尘，不求来世，只轰轰烈烈，快意恩仇，败尽各族英杰，傲笑六道神魔！万年之后，大劫再启，如来金身，元始道体，孰强孰弱，如来神掌，截天七式，谁领风骚？轮回之中，孟奇自少林寺开始了自己“纵横一生，谁能相抗”的历程。
冰火魔厨,205.1万,七柄绝世神刃。冰雪女神的叹息——晨露刀。火焰之神的咆哮——正阳刀。自由之风的轻吟——傲天刀。大地苏醒的旋律——长生刀。神机百变的六芒——璇玑刀。贯通天地的曙光——圣耀刀。永世地狱的诅咒——噬魔刀。这是七柄神刀，也是七柄拥有着冰、火、风、土、空间、光明、黑暗的魔法杖。最重要的，它们还是主角的——菜刀。
大道之上,328.7万,我的爷爷很古怪，他每天给自己上香，站在自己的灵位前吃蜡烛。村里的人都很怕爷爷。我也很怕爷爷。后来我才发现，他们害怕的不是爷爷，而是我。爷爷也很怕我。……我叫陈实。诚实的陈，老实的实。来阅文旗下网站阅读我的更多作品吧！
天相,201.7万,万相大陆，灵煞肆虐。
太古神墟,241.8万,神秘男孩记忆被师尊封印，走出太古神墟。
神印王座II皓月当空,201.4万,《神印王座》第二部！龙生两子亦有不同，天才的哥哥与废柴的弟弟，明明是长得一模一样的双胞胎，却有着天壤之别，唯有他们那想要躺平的心却是一模一样。在他们出生的那一晚，皓月当空。
天武神帝,618.9万,一代天骄云飞扬，因在秘境中保护自己的未婚妻，导致修为尽废，成为一介废人。
我在修真界做天之骄子,281.8万,无女主+无cp+沙雕文
百炼成神,925.0万,因家族内乱从家族大少跌落为卑微家奴的罗征意外得到上古炼器秘法。
诡界求仙：我有一棵神通树,276.3万,［苟道大成+诡异修仙+天罡神通+杀伐果断+无后宫+不圣母］
不朽天帝,627.2万,九死一生，古长青觉醒不死血脉。
公主太恶劣？抱紧她大腿后真香！,125.3万,【恶劣坏女人】+【恋爱软饭】+【杀伐果断】+【武道升级】+【战斗爽！】
神话副本：开局我为道祖牵青牛,100.7万,【神话宝镜绑定成功。】
你一个武夫，谁让你炼剑的？,222.1万,【无系统】【无穿越】【肉身无敌】【极致剑道】【杀伐果断】【一路横推】
一人一驴一狗去修仙,513.0万,【苟贱+夺笋+腹黑+爽文+老六+轻松+无节操】
我就是神！,545.5万,五亿年前。寒武纪。尹神降临在最远古的蛮荒大地和原始海洋之上，他是一切的开端，他创造了智慧和生命，他是众生的造物主。时间的流逝里，故事化为史诗，史诗化为神话，最终神话也被埋葬在岁月之中。唯神永恒。
傲世九重天,849.6万,一笑风雷震，一怒沧海寒；一手破苍穹，一剑舞长天！一人一剑，傲世九重天！
太荒吞天诀,1525.0万,十大仙帝之一，因得重宝吞天神鼎，遭围攻惨死；携神鼎重生归来，吞四海，容八荒…一代邪神，踏天血洗仙界！
